YEAR,REGION,AGE_GROUP,AGE_GROUP_INSEE,GENDER,PATH_CATEGORY_NAME,NB_ETUDIANTS,NB_INSCRITS_TOUS_GENRES,POPULATION_INSEE,NB_DEPARTMENTS,TOTAL_ETU_REGION,TOTAL_INSEE_REGION,PCT_FEMMES_ETU,PCT_FEMMES_INSEE,GAP_FEMMES_PCT
2025,Auvergne-Rhône-Alpes,20-24 ans,20-39 ans,F,Data,3,13,2942547,1,89,51985701,25.84,47.23,-21.39
2025,Auvergne-Rhône-Alpes,20-24 ans,20-39 ans,M,Data,9,13,2963031,1,89,51985701,25.84,47.23,-21.39
2025,Auvergne-Rhône-Alpes,25-29 ans,20-39 ans,F,Data,5,23,2942547,1,89,51985701,25.84,47.23,-21.39
2025,Auvergne-Rhône-Alpes,25-29 ans,20-39 ans,M,Data,18,23,2963031,1,89,51985701,25.84,47.23,-21.39
2025,Auvergne-Rhône-Alpes,30-34 ans,20-39 ans,F,Data,4,22,2942547,1,89,51985701,25.84,47.23,-21.39
2025,Auvergne-Rhône-Alpes,30-34 ans,20-39 ans,M,Data,16,22,2963031,1,89,51985701,25.84,47.23,-21.39
2025,Auvergne-Rhône-Alpes,35-39 ans,20-39 ans,F,Data,4,10,2942547,1,89,51985701,25.84,47.23,-21.39
2025,Auvergne-Rhône-Alpes,35-39 ans,20-39 ans,M,Data,6,10,2963031,1,89,51985701,25.84,47.23,-21.39
2025,Auvergne-Rhône-Alpes,40-44 ans,40-59 ans,F,Data,2,14,3195849,1,89,51985701,25.84,47.23,-21.39
2025,Auvergne-Rhône-Alpes,40-44 ans,40-59 ans,M,Data,11,14,3133101,1,89,51985701,25.84,47.23,-21.39
2025,Auvergne-Rhône-Alpes,45-49 ans,40-59 ans,F,Data,1,3,3195849,1,89,51985701,25.84,47.23,-21.39
2025,Auvergne-Rhône-Alpes,45-49 ans,40-59 ans,M,Data,2,3,3133101,1,89,51985701,25.84,47.23,-21.39
2025,Auvergne-Rhône-Alpes,50-54 ans,40-59 ans,F,Data,2,3,3195849,1,89,51985701,25.84,47.23,-21.39
2025,Auvergne-Rhône-Alpes,50-54 ans,40-59 ans,M,Data,1,3,3133101,1,89,51985701,25.84,47.23,-21.39
2025,Auvergne-Rhône-Alpes,55-59 ans,40-59 ans,F,Data,2,3,3195849,1,89,51985701,25.84,47.23,-21.39
2025,Auvergne-Rhône-Alpes,55-59 ans,40-59 ans,M,Data,1,3,3133101,1,89,51985701,25.84,47.23,-21.39
2025,Auvergne-Rhône-Alpes,60 ans ou plus,60+ ans,M,Data,2,2,3047589,1,89,51985701,25.84,47.23,-21.39
2025,Bourgogne-Franche-Comté,20-24 ans,20-39 ans,M,Data,4,4,937450,1,19,9660969,31.58,39.09,-7.51
2025,Bourgogne-Franche-Comté,25-29 ans,20-39 ans,F,Data,1,3,898658,1,19,9660969,31.58,39.09,-7.51
2025,Bourgogne-Franche-Comté,25-29 ans,20-39 ans,M,Data,2,3,937450,1,19,9660969,31.58,39.09,-7.51
2025,Bourgogne-Franche-Comté,30-34 ans,20-39 ans,F,Data,2,6,898658,1,19,9660969,31.58,39.09,-7.51
2025,Bourgogne-Franche-Comté,30-34 ans,20-39 ans,M,Data,4,6,937450,1,19,9660969,31.58,39.09,-7.51
2025,Bourgogne-Franche-Comté,35-39 ans,20-39 ans,F,Data,2,3,898658,1,19,9660969,31.58,39.09,-7.51
2025,Bourgogne-Franche-Comté,35-39 ans,20-39 ans,M,Data,1,3,937450,1,19,9660969,31.58,39.09,-7.51
2025,Bourgogne-Franche-Comté,45-49 ans,40-59 ans,F,Data,1,2,1080445,1,19,9660969,31.58,39.09,-7.51
2025,Bourgogne-Franche-Comté,45-49 ans,40-59 ans,M,Data,1,2,1067375,1,19,9660969,31.58,39.09,-7.51
2025,Bourgogne-Franche-Comté,55-59 ans,40-59 ans,M,Data,1,1,1067375,1,19,9660969,31.58,39.09,-7.51
2025,Bretagne,20-24 ans,20-39 ans,M,Data,3,3,1151451,1,29,14099622,31.03,39.44,-8.41
2025,Bretagne,25-29 ans,20-39 ans,M,Data,3,3,1151451,1,29,14099622,31.03,39.44,-8.41
2025,Bretagne,30-34 ans,20-39 ans,F,Data,4,8,1113393,1,29,14099622,31.03,39.44,-8.41
2025,Bretagne,30-34 ans,20-39 ans,M,Data,4,8,1151451,1,29,14099622,31.03,39.44,-8.41
2025,Bretagne,35-39 ans,20-39 ans,M,Data,4,4,1151451,1,29,14099622,31.03,39.44,-8.41
2025,Bretagne,40-44 ans,40-59 ans,F,Data,1,5,1327542,1,29,14099622,31.03,39.44,-8.41
2025,Bretagne,40-44 ans,40-59 ans,M,Data,4,5,1310880,1,29,14099622,31.03,39.44,-8.41
2025,Bretagne,45-49 ans,40-59 ans,F,Data,3,3,1327542,1,29,14099622,31.03,39.44,-8.41
2025,Bretagne,50-54 ans,40-59 ans,M,Data,1,1,1310880,1,29,14099622,31.03,39.44,-8.41
2025,Bretagne,55-59 ans,40-59 ans,M,Data,1,1,1310880,1,29,14099622,31.03,39.44,-8.41
2025,Bretagne,60 ans ou plus,60+ ans,F,Data,1,2,1792701,1,29,14099622,31.03,39.44,-8.41
2025,Centre-Val-de-Loire,25-29 ans,20-39 ans,F,Data,3,9,828114,1,35,11908677,34.29,45.84,-11.56
2025,Centre-Val-de-Loire,25-29 ans,20-39 ans,M,Data,6,9,835167,1,35,11908677,34.29,45.84,-11.56
2025,Centre-Val-de-Loire,30-34 ans,20-39 ans,F,Data,3,5,828114,1,35,11908677,34.29,45.84,-11.56
2025,Centre-Val-de-Loire,30-34 ans,20-39 ans,M,Data,2,5,835167,1,35,11908677,34.29,45.84,-11.56
2025,Centre-Val-de-Loire,35-39 ans,20-39 ans,F,Data,1,8,828114,1,35,11908677,34.29,45.84,-11.56
2025,Centre-Val-de-Loire,35-39 ans,20-39 ans,M,Data,7,8,835167,1,35,11908677,34.29,45.84,-11.56
2025,Centre-Val-de-Loire,40-44 ans,40-59 ans,F,Data,2,5,991707,1,35,11908677,34.29,45.84,-11.56
2025,Centre-Val-de-Loire,40-44 ans,40-59 ans,M,Data,3,5,959421,1,35,11908677,34.29,45.84,-11.56
2025,Centre-Val-de-Loire,45-49 ans,40-59 ans,F,Data,2,4,991707,1,35,11908677,34.29,45.84,-11.56
2025,Centre-Val-de-Loire,45-49 ans,40-59 ans,M,Data,2,4,959421,1,35,11908677,34.29,45.84,-11.56
2025,Centre-Val-de-Loire,50-54 ans,40-59 ans,F,Data,1,2,991707,1,35,11908677,34.29,45.84,-11.56
2025,Centre-Val-de-Loire,50-54 ans,40-59 ans,M,Data,1,2,959421,1,35,11908677,34.29,45.84,-11.56
2025,Centre-Val-de-Loire,60 ans ou plus,60+ ans,M,Data,2,2,1065450,1,35,11908677,34.29,45.84,-11.56
2025,DROM,25-29 ans,20-39 ans,M,Data,2,3,679008,5,14,6102528,21.43,43.00,-21.57
2025,DROM,30-34 ans,20-39 ans,F,Data,1,4,838092,5,14,6102528,21.43,43.00,-21.57
2025,DROM,30-34 ans,20-39 ans,M,Data,3,4,679008,5,14,6102528,21.43,43.00,-21.57
2025,DROM,35-39 ans,20-39 ans,M,Data,2,3,679008,5,14,6102528,21.43,43.00,-21.57
2025,DROM,40-44 ans,40-59 ans,F,Data,1,4,892953,5,14,6102528,21.43,43.00,-21.57
2025,DROM,40-44 ans,40-59 ans,M,Data,3,4,762084,5,14,6102528,21.43,43.00,-21.57
2025,DROM,45-49 ans,40-59 ans,F,Data,1,1,892953,5,14,6102528,21.43,43.00,-21.57
2025,DROM,60 ans ou plus,60+ ans,M,Data,1,1,679422,5,14,6102528,21.43,43.00,-21.57
2025,Grand Est,20-24 ans,20-39 ans,M,Data,3,4,1953074,1,47,28276254,27.66,42.83,-15.17
2025,Grand Est,25-29 ans,20-39 ans,F,Data,2,9,1908415,1,47,28276254,27.66,42.83,-15.17
2025,Grand Est,25-29 ans,20-39 ans,M,Data,7,9,1953074,1,47,28276254,27.66,42.83,-15.17
2025,Grand Est,30-34 ans,20-39 ans,F,Data,4,11,1908415,1,47,28276254,27.66,42.83,-15.17
2025,Grand Est,30-34 ans,20-39 ans,M,Data,6,11,1953074,1,47,28276254,27.66,42.83,-15.17
2025,Grand Est,35-39 ans,20-39 ans,F,Data,4,15,1908415,1,47,28276254,27.66,42.83,-15.17
2025,Grand Est,35-39 ans,20-39 ans,M,Data,10,15,1953074,1,47,28276254,27.66,42.83,-15.17
2025,Grand Est,40-44 ans,40-59 ans,F,Data,1,3,2128919,1,47,28276254,27.66,42.83,-15.17
2025,Grand Est,40-44 ans,40-59 ans,M,Data,2,3,2087989,1,47,28276254,27.66,42.83,-15.17
2025,Grand Est,45-49 ans,40-59 ans,M,Data,2,3,2087989,1,47,28276254,27.66,42.83,-15.17
2025,Grand Est,50-54 ans,40-59 ans,F,Data,1,6,2128919,1,47,28276254,27.66,42.83,-15.17
2025,Grand Est,50-54 ans,40-59 ans,M,Data,3,6,2087989,1,47,28276254,27.66,42.83,-15.17
2025,Grand Est,55-59 ans,40-59 ans,F,Data,1,3,2128919,1,47,28276254,27.66,42.83,-15.17
2025,Grand Est,55-59 ans,40-59 ans,M,Data,1,3,2087989,1,47,28276254,27.66,42.83,-15.17
2025,Hauts-de-France,20-24 ans,20-39 ans,F,Data,1,4,2157741,1,56,28516581,17.86,46.31,-28.45
2025,Hauts-de-France,20-24 ans,20-39 ans,M,Data,3,4,2145765,1,56,28516581,17.86,46.31,-28.45
2025,Hauts-de-France,25-29 ans,20-39 ans,F,Data,2,13,2157741,1,56,28516581,17.86,46.31,-28.45
2025,Hauts-de-France,25-29 ans,20-39 ans,M,Data,11,13,2145765,1,56,28516581,17.86,46.31,-28.45
2025,Hauts-de-France,30-34 ans,20-39 ans,F,Data,2,17,2157741,1,56,28516581,17.86,46.31,-28.45
2025,Hauts-de-France,30-34 ans,20-39 ans,M,Data,12,17,2145765,1,56,28516581,17.86,46.31,-28.45
2025,Hauts-de-France,35-39 ans,20-39 ans,F,Data,1,11,2157741,1,56,28516581,17.86,46.31,-28.45
2025,Hauts-de-France,35-39 ans,20-39 ans,M,Data,10,11,2145765,1,56,28516581,17.86,46.31,-28.45
2025,Hauts-de-France,40-44 ans,40-59 ans,F,Data,2,6,2287731,1,56,28516581,17.86,46.31,-28.45
2025,Hauts-de-France,40-44 ans,40-59 ans,M,Data,4,6,2242365,1,56,28516581,17.86,46.31,-28.45
2025,Hauts-de-France,45-49 ans,40-59 ans,M,Data,4,4,2242365,1,56,28516581,17.86,46.31,-28.45
2025,Hauts-de-France,50-54 ans,40-59 ans,M,Data,2,3,2242365,1,56,28516581,17.86,46.31,-28.45
2025,Hauts-de-France,55-59 ans,40-59 ans,F,Data,2,2,2287731,1,56,28516581,17.86,46.31,-28.45
2025,Normandie,25-29 ans,20-39 ans,M,Data,2,2,1126812,1,19,8350644,15.79,30.24,-14.45
2025,Normandie,30-34 ans,20-39 ans,M,Data,4,5,1126812,1,19,8350644,15.79,30.24,-14.45
2025,Normandie,35-39 ans,20-39 ans,M,Data,2,3,1126812,1,19,8350644,15.79,30.24,-14.45
2025,Normandie,40-44 ans,40-59 ans,M,Data,6,6,1222695,1,19,8350644,15.79,30.24,-14.45
2025,Normandie,50-54 ans,40-59 ans,F,Data,2,4,1262409,1,19,8350644,15.79,30.24,-14.45
2025,Normandie,50-54 ans,40-59 ans,M,Data,2,4,1222695,1,19,8350644,15.79,30.24,-14.45
2025,Normandie,55-59 ans,40-59 ans,F,Data,1,1,1262409,1,19,8350644,15.79,30.24,-14.45
2025,Nouvelle-Aquitaine,20-24 ans,20-39 ans,M,Data,6,6,2017098,1,46,28807020,30.43,39.39,-8.96
2025,Nouvelle-Aquitaine,25-29 ans,20-39 ans,M,Data,6,8,2017098,1,46,28807020,30.43,39.39,-8.96
2025,Nouvelle-Aquitaine,30-34 ans,20-39 ans,F,Data,5,12,1999511,1,46,28807020,30.43,39.39,-8.96
2025,Nouvelle-Aquitaine,30-34 ans,20-39 ans,M,Data,7,12,2017098,1,46,28807020,30.43,39.39,-8.96
2025,Nouvelle-Aquitaine,35-39 ans,20-39 ans,F,Data,2,8,1999511,1,46,28807020,30.43,39.39,-8.96
2025,Nouvelle-Aquitaine,35-39 ans,20-39 ans,M,Data,5,8,2017098,1,46,28807020,30.43,39.39,-8.96
2025,Nouvelle-Aquitaine,40-44 ans,40-59 ans,F,Data,4,5,2449678,1,46,28807020,30.43,39.39,-8.96
2025,Nouvelle-Aquitaine,40-44 ans,40-59 ans,M,Data,1,5,2347643,1,46,28807020,30.43,39.39,-8.96
2025,Nouvelle-Aquitaine,45-49 ans,40-59 ans,M,Data,3,4,2347643,1,46,28807020,30.43,39.39,-8.96
2025,Nouvelle-Aquitaine,50-54 ans,40-59 ans,F,Data,2,3,2449678,1,46,28807020,30.43,39.39,-8.96
2025,Nouvelle-Aquitaine,50-54 ans,40-59 ans,M,Data,1,3,2347643,1,46,28807020,30.43,39.39,-8.96
2025,Nouvelle-Aquitaine,55-59 ans,40-59 ans,F,Data,1,4,2449678,1,46,28807020,30.43,39.39,-8.96
2025,Nouvelle-Aquitaine,55-59 ans,40-59 ans,M,Data,3,4,2347643,1,46,28807020,30.43,39.39,-8.96
2025,Occitanie,20-24 ans,20-39 ans,F,Data,1,7,2081131,1,67,32849435,31.34,47.05,-15.71
2025,Occitanie,20-24 ans,20-39 ans,M,Data,6,7,2082528,1,67,32849435,31.34,47.05,-15.71
2025,Occitanie,25-29 ans,20-39 ans,F,Data,6,18,2081131,1,67,32849435,31.34,47.05,-15.71
2025,Occitanie,25-29 ans,20-39 ans,M,Data,12,18,2082528,1,67,32849435,31.34,47.05,-15.71
2025,Occitanie,30-34 ans,20-39 ans,F,Data,4,12,2081131,1,67,32849435,31.34,47.05,-15.71
2025,Occitanie,30-34 ans,20-39 ans,M,Data,7,12,2082528,1,67,32849435,31.34,47.05,-15.71
2025,Occitanie,35-39 ans,20-39 ans,F,Data,3,12,2081131,1,67,32849435,31.34,47.05,-15.71
2025,Occitanie,35-39 ans,20-39 ans,M,Data,9,12,2082528,1,67,32849435,31.34,47.05,-15.71
2025,Occitanie,40-44 ans,40-59 ans,F,Data,2,4,2377433,1,67,32849435,31.34,47.05,-15.71
2025,Occitanie,40-44 ans,40-59 ans,M,Data,2,4,2265625,1,67,32849435,31.34,47.05,-15.71
2025,Occitanie,45-49 ans,40-59 ans,F,Data,3,9,2377433,1,67,32849435,31.34,47.05,-15.71
2025,Occitanie,45-49 ans,40-59 ans,M,Data,5,9,2265625,1,67,32849435,31.34,47.05,-15.71
2025,Occitanie,50-54 ans,40-59 ans,F,Data,2,3,2377433,1,67,32849435,31.34,47.05,-15.71
2025,Occitanie,50-54 ans,40-59 ans,M,Data,1,3,2265625,1,67,32849435,31.34,47.05,-15.71
2025,Occitanie,55-59 ans,40-59 ans,M,Data,4,4,2265625,1,67,32849435,31.34,47.05,-15.71
2025,Pays de la Loire,20-24 ans,20-39 ans,M,Data,1,1,1365972,1,27,16915287,33.33,41.31,-7.97
2025,Pays de la Loire,25-29 ans,20-39 ans,F,Data,1,4,1329018,1,27,16915287,33.33,41.31,-7.97
2025,Pays de la Loire,25-29 ans,20-39 ans,M,Data,3,4,1365972,1,27,16915287,33.33,41.31,-7.97
2025,Pays de la Loire,30-34 ans,20-39 ans,F,Data,2,7,1329018,1,27,16915287,33.33,41.31,-7.97
2025,Pays de la Loire,30-34 ans,20-39 ans,M,Data,4,7,1365972,1,27,16915287,33.33,41.31,-7.97
2025,Pays de la Loire,35-39 ans,20-39 ans,F,Data,1,4,1329018,1,27,16915287,33.33,41.31,-7.97
2025,Pays de la Loire,35-39 ans,20-39 ans,M,Data,3,4,1365972,1,27,16915287,33.33,41.31,-7.97
2025,Pays de la Loire,40-44 ans,40-59 ans,M,Data,3,3,1488117,1,27,16915287,33.33,41.31,-7.97
2025,Pays de la Loire,45-49 ans,40-59 ans,F,Data,3,6,1499997,1,27,16915287,33.33,41.31,-7.97
2025,Pays de la Loire,45-49 ans,40-59 ans,M,Data,3,6,1488117,1,27,16915287,33.33,41.31,-7.97
2025,Pays de la Loire,50-54 ans,40-59 ans,M,Data,1,1,1488117,1,27,16915287,33.33,41.31,-7.97
2025,Pays de la Loire,55-59 ans,40-59 ans,F,Data,2,2,1499997,1,27,16915287,33.33,41.31,-7.97
2025,Provence-Alpes-Côte d'Azur,20-24 ans,20-39 ans,F,Data,2,6,1758210,1,79,29848152,32.91,51.14,-18.23
2025,Provence-Alpes-Côte d'Azur,20-24 ans,20-39 ans,M,Data,4,6,1710951,1,79,29848152,32.91,51.14,-18.23
2025,Provence-Alpes-Côte d'Azur,25-29 ans,20-39 ans,F,Data,3,14,1758210,1,79,29848152,32.91,51.14,-18.23
2025,Provence-Alpes-Côte d'Azur,25-29 ans,20-39 ans,M,Data,10,14,1710951,1,79,29848152,32.91,51.14,-18.23
2025,Provence-Alpes-Côte d'Azur,30-34 ans,20-39 ans,F,Data,9,23,1758210,1,79,29848152,32.91,51.14,-18.23
2025,Provence-Alpes-Côte d'Azur,30-34 ans,20-39 ans,M,Data,14,23,1710951,1,79,29848152,32.91,51.14,-18.23
2025,Provence-Alpes-Côte d'Azur,35-39 ans,20-39 ans,F,Data,2,15,1758210,1,79,29848152,32.91,51.14,-18.23
2025,Provence-Alpes-Côte d'Azur,35-39 ans,20-39 ans,M,Data,11,15,1710951,1,79,29848152,32.91,51.14,-18.23
2025,Provence-Alpes-Côte d'Azur,40-44 ans,40-59 ans,F,Data,5,10,2058093,1,79,29848152,32.91,51.14,-18.23
2025,Provence-Alpes-Côte d'Azur,40-44 ans,40-59 ans,M,Data,5,10,1934784,1,79,29848152,32.91,51.14,-18.23
2025,Provence-Alpes-Côte d'Azur,45-49 ans,40-59 ans,F,Data,2,8,2058093,1,79,29848152,32.91,51.14,-18.23
2025,Provence-Alpes-Côte d'Azur,45-49 ans,40-59 ans,M,Data,5,8,1934784,1,79,29848152,32.91,51.14,-18.23
2025,Provence-Alpes-Côte d'Azur,50-54 ans,40-59 ans,F,Data,2,5,2058093,1,79,29848152,32.91,51.14,-18.23
2025,Provence-Alpes-Côte d'Azur,50-54 ans,40-59 ans,M,Data,3,5,1934784,1,79,29848152,32.91,51.14,-18.23
2025,Provence-Alpes-Côte d'Azur,55-59 ans,40-59 ans,F,Data,1,2,2058093,1,79,29848152,32.91,51.14,-18.23
2025,Provence-Alpes-Côte d'Azur,55-59 ans,40-59 ans,M,Data,1,2,1934784,1,79,29848152,32.91,51.14,-18.23
2025,Île-de-France,20-24 ans,20-39 ans,F,Data,6,33,5366028,1,360,84137997,39.44,48.87,-9.42
2025,Île-de-France,20-24 ans,20-39 ans,M,Data,27,33,5128647,1,360,84137997,39.44,48.87,-9.42
2025,Île-de-France,25-29 ans,20-39 ans,F,Data,34,93,5366028,1,360,84137997,39.44,48.87,-9.42
2025,Île-de-France,25-29 ans,20-39 ans,M,Data,51,93,5128647,1,360,84137997,39.44,48.87,-9.42
2025,Île-de-France,30-34 ans,20-39 ans,F,Data,33,90,5366028,1,360,84137997,39.44,48.87,-9.42
2025,Île-de-France,30-34 ans,20-39 ans,M,Data,50,90,5128647,1,360,84137997,39.44,48.87,-9.42
2025,Île-de-France,35-39 ans,20-39 ans,F,Data,35,81,5366028,1,360,84137997,39.44,48.87,-9.42
2025,Île-de-France,35-39 ans,20-39 ans,M,Data,38,81,5128647,1,360,84137997,39.44,48.87,-9.42
2025,Île-de-France,40-44 ans,40-59 ans,F,Data,17,32,4912932,1,360,84137997,39.44,48.87,-9.42
2025,Île-de-France,40-44 ans,40-59 ans,M,Data,14,32,4724973,1,360,84137997,39.44,48.87,-9.42
2025,Île-de-France,45-49 ans,40-59 ans,F,Data,10,33,4912932,1,360,84137997,39.44,48.87,-9.42
2025,Île-de-France,45-49 ans,40-59 ans,M,Data,20,33,4724973,1,360,84137997,39.44,48.87,-9.42
2025,Île-de-France,50-54 ans,40-59 ans,F,Data,6,20,4912932,1,360,84137997,39.44,48.87,-9.42
2025,Île-de-France,50-54 ans,40-59 ans,M,Data,10,20,4724973,1,360,84137997,39.44,48.87,-9.42
2025,Île-de-France,55-59 ans,40-59 ans,F,Data,1,6,4912932,1,360,84137997,39.44,48.87,-9.42
2025,Île-de-France,55-59 ans,40-59 ans,M,Data,5,6,4724973,1,360,84137997,39.44,48.87,-9.42
2025,Île-de-France,60 ans ou plus,60+ ans,M,Data,3,3,3607677,1,360,84137997,39.44,48.87,-9.42
2024,Auvergne-Rhône-Alpes,20-24 ans,20-39 ans,F,Data,1,9,2935455,1,81,42323805,18.52,42.85,-24.33
2024,Auvergne-Rhône-Alpes,20-24 ans,20-39 ans,M,Data,7,9,2945004,1,81,42323805,18.52,42.85,-24.33
2024,Auvergne-Rhône-Alpes,25-29 ans,20-39 ans,F,Data,9,30,2935455,1,81,42323805,18.52,42.85,-24.33
2024,Auvergne-Rhône-Alpes,25-29 ans,20-39 ans,M,Data,21,30,2945004,1,81,42323805,18.52,42.85,-24.33
2024,Auvergne-Rhône-Alpes,30-34 ans,20-39 ans,F,Data,1,13,2935455,1,81,42323805,18.52,42.85,-24.33
2024,Auvergne-Rhône-Alpes,30-34 ans,20-39 ans,M,Data,12,13,2945004,1,81,42323805,18.52,42.85,-24.33
2024,Auvergne-Rhône-Alpes,35-39 ans,20-39 ans,F,Data,2,10,2935455,1,81,42323805,18.52,42.85,-24.33
2024,Auvergne-Rhône-Alpes,35-39 ans,20-39 ans,M,Data,7,10,2945004,1,81,42323805,18.52,42.85,-24.33
2024,Auvergne-Rhône-Alpes,40-44 ans,40-59 ans,F,Data,1,11,3197604,1,81,42323805,18.52,42.85,-24.33
2024,Auvergne-Rhône-Alpes,40-44 ans,40-59 ans,M,Data,8,11,3138837,1,81,42323805,18.52,42.85,-24.33
2024,Auvergne-Rhône-Alpes,45-49 ans,40-59 ans,F,Data,1,8,3197604,1,81,42323805,18.52,42.85,-24.33
2024,Auvergne-Rhône-Alpes,45-49 ans,40-59 ans,M,Data,7,8,3138837,1,81,42323805,18.52,42.85,-24.33
2024,Auvergne-Rhône-Alpes,50-54 ans,40-59 ans,M,Data,2,3,3138837,1,81,42323805,18.52,42.85,-24.33
2024,Auvergne-Rhône-Alpes,60 ans ou plus,60+ ans,M,Data,2,2,2990250,1,81,42323805,18.52,42.85,-24.33
2024,Bourgogne-Franche-Comté,20-24 ans,20-39 ans,M,Data,4,4,936631,1,15,5911396,6.67,18.43,-11.77
2024,Bourgogne-Franche-Comté,25-29 ans,20-39 ans,M,Data,3,3,936631,1,15,5911396,6.67,18.43,-11.77
2024,Bourgogne-Franche-Comté,30-34 ans,20-39 ans,M,Data,4,4,936631,1,15,5911396,6.67,18.43,-11.77
2024,Bourgogne-Franche-Comté,35-39 ans,20-39 ans,M,Data,2,2,936631,1,15,5911396,6.67,18.43,-11.77
2024,Bourgogne-Franche-Comté,40-44 ans,40-59 ans,F,Data,1,2,1089631,1,15,5911396,6.67,18.43,-11.77
2024,Bourgogne-Franche-Comté,40-44 ans,40-59 ans,M,Data,1,2,1075241,1,15,5911396,6.67,18.43,-11.77
2024,Bretagne,20-24 ans,20-39 ans,F,Data,1,4,1107516,1,27,14271189,33.33,40.35,-7.02
2024,Bretagne,20-24 ans,20-39 ans,M,Data,3,4,1141845,1,27,14271189,33.33,40.35,-7.02
2024,Bretagne,25-29 ans,20-39 ans,F,Data,2,6,1107516,1,27,14271189,33.33,40.35,-7.02
2024,Bretagne,25-29 ans,20-39 ans,M,Data,3,6,1141845,1,27,14271189,33.33,40.35,-7.02
2024,Bretagne,30-34 ans,20-39 ans,F,Data,3,8,1107516,1,27,14271189,33.33,40.35,-7.02
2024,Bretagne,30-34 ans,20-39 ans,M,Data,4,8,1141845,1,27,14271189,33.33,40.35,-7.02
2024,Bretagne,35-39 ans,20-39 ans,F,Data,1,4,1107516,1,27,14271189,33.33,40.35,-7.02
2024,Bretagne,35-39 ans,20-39 ans,M,Data,2,4,1141845,1,27,14271189,33.33,40.35,-7.02
2024,Bretagne,40-44 ans,40-59 ans,M,Data,4,4,1315107,1,27,14271189,33.33,40.35,-7.02
2024,Bretagne,45-49 ans,40-59 ans,F,Data,2,3,1328424,1,27,14271189,33.33,40.35,-7.02
2024,Bretagne,45-49 ans,40-59 ans,M,Data,1,3,1315107,1,27,14271189,33.33,40.35,-7.02
2024,Bretagne,55-59 ans,40-59 ans,M,Data,1,1,1315107,1,27,14271189,33.33,40.35,-7.02
2024,Centre-Val-de-Loire,20-24 ans,20-39 ans,M,Data,2,2,830802,1,25,9845556,12.00,26.97,-14.97
2024,Centre-Val-de-Loire,25-29 ans,20-39 ans,F,Data,1,6,828855,1,25,9845556,12.00,26.97,-14.97
2024,Centre-Val-de-Loire,25-29 ans,20-39 ans,M,Data,5,6,830802,1,25,9845556,12.00,26.97,-14.97
2024,Centre-Val-de-Loire,30-34 ans,20-39 ans,M,Data,3,4,830802,1,25,9845556,12.00,26.97,-14.97
2024,Centre-Val-de-Loire,35-39 ans,20-39 ans,F,Data,1,7,828855,1,25,9845556,12.00,26.97,-14.97
2024,Centre-Val-de-Loire,35-39 ans,20-39 ans,M,Data,6,7,830802,1,25,9845556,12.00,26.97,-14.97
2024,Centre-Val-de-Loire,40-44 ans,40-59 ans,F,Data,1,4,997422,1,25,9845556,12.00,26.97,-14.97
2024,Centre-Val-de-Loire,40-44 ans,40-59 ans,M,Data,3,4,966804,1,25,9845556,12.00,26.97,-14.97
2024,Centre-Val-de-Loire,45-49 ans,40-59 ans,M,Data,1,1,966804,1,25,9845556,12.00,26.97,-14.97
2024,Centre-Val-de-Loire,50-54 ans,40-59 ans,M,Data,1,1,966804,1,25,9845556,12.00,26.97,-14.97
